URL;Hotel;Region;Location
http://www.tripadvisor.com/Hotel_Review-g274873-d2235422-Reviews-Hotel_Cubo-Ljubljana_Upper_Carniola_Region.html;Cubo hotel;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d3210907-Reviews-Adora_Hotel-Ljubljana_Upper_Carniola_Region.html;Adora hotel;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d2689540-Reviews-Radisson_Blu_Plaza_Hotel_Ljubljana-Ljubljana_Upper_Carniola_Region.html;Plaza hotel;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d5539485-Reviews-Hotel_Nox-Ljubljana_Upper_Carniola_Region.html;Nox;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d456147-Reviews-Grand_Hotel_Union-Ljubljana_Upper_Carniola_Region.html;Hotel Union;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d276342-Reviews-Grand_Hotel_Union_Business-Ljubljana_Upper_Carniola_Region.html;Hotel Union Business;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d276339-Reviews-Hotel_Lev_Ljubljana-Ljubljana_Upper_Carniola_Region.html;Hotel Lev;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d276338-Reviews-BEST_WESTERN_Premier_Hotel_Slon-Ljubljana_Upper_Carniola_Region.html;Hotel Slon;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d291456-Reviews-Austria_Trend_Hotel_Ljubljana-Ljubljana_Upper_Carniola_Region.html;Austria Trend Hotel;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d290747-Reviews-City_Hotel_Ljubljana-Ljubljana_Upper_Carniola_Region.html;City hotel Ljubljana;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d1018114-Reviews-Ahotel_Hotel_Ljubljana-Ljubljana_Upper_Carniola_Region.html;A hotel Ljubljana;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d3547110-Reviews-G_Design_Hotel-Ljubljana_Upper_Carniola_Region.html;G Design Hotel;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d559550-Reviews-Hotel_Emonec-Ljubljana_Upper_Carniola_Region.html;Hotel Emonec;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d3240519-Reviews-Vander_Urbani_Resort-Ljubljana_Upper_Carniola_Region.html;Vander Urbani hotel;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d287431-Reviews-Central_Hotel-Ljubljana_Upper_Carniola_Region.html;Central Hotel;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d530649-Reviews-Four_Points_by_Sheraton_Ljubljana_Mons-Ljubljana_Upper_Carniola_Region.html;Four points Sheraton;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d3515613-Reviews-Hotel_Meksiko-Ljubljana_Upper_Carniola_Region.html;Hotel mexico;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d290446-Reviews-Hotel_Park_Urban_Green-Ljubljana_Upper_Carniola_Region.html;Hotel Park;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d316880-Reviews-Hotel_Mrak-Ljubljana_Upper_Carniola_Region.html;Hotel Mrak;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d1786389-Reviews-Birokrat_Hotel-Ljubljana_Upper_Carniola_Region.html;Birokrat hotel;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d1853432-Reviews-Antiq_Palace_Hotel_Spa-Ljubljana_Upper_Carniola_Region.html;Antiq Palace Hotel;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d320375-Reviews-M_Hotel-Ljubljana_Upper_Carniola_Region.html;M Hotel;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d636448-Reviews-Hotel_Galleria-Ljubljana_Upper_Carniola_Region.html;Hotel Galleria;Slovenija;Ljubljana
https://www.tripadvisor.com/Hotel_Review-g274873-d301994-Reviews-Bit_Center_Hotel-Ljubljana_Upper_Carniola_Region.html;Bit Center Hotel;Slovenija;Ljubljana
